tempatpinjamuang.co.id,"HTTPSConnectionPool(host='tempatpinjamuang.co.id', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='tempatpinjamuang.co.id', port=80): Read timed out. (read timeout=2)"
thecar.co.il,"HTTPSConnectionPool(host='thecar.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thecar.co.il', port=443): Read timed out. (read timeout=2)"
thecombine.co,"HTTPSConnectionPool(host='thecombine.co', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='thecombine.co', port=80): Read timed out. (read timeout=2)"
thefinancialexpress.com.bd,"HTTPSConnectionPool(host='thefinancialexpress.com.bd', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thefinancialexpress.com.bd', port=443): Read timed out. (read timeout=2)"
thegamer.com,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
thepeakmagazine.com.sg,"HTTPSConnectionPool(host='www.thepeakmagazine.com.sg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.thepeakmagazine.com.sg', port=443): Read timed out. (read timeout=2)"
thesource.ca,"HTTPSConnectionPool(host='www.thesource.ca', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.thesource.ca', port=443): Read timed out. (read timeout=2)"
thesun.co.uk,"HTTPSConnectionPool(host='www.thesun.co.uk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.thesun.co.uk', port=443): Read timed out. (read timeout=2)"
thesun.ie,"HTTPSConnectionPool(host='www.thesun.ie', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.thesun.ie', port=443): Read timed out. (read timeout=2)"
thinklocal.co.za,"HTTPSConnectionPool(host='thinklocal.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'thinklocal.co.za' doesn't match '*.thinklocal.co.za'"")))","HTTPSConnectionPool(host='thinklocal.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'thinklocal.co.za' doesn't match '*.thinklocal.co.za'"")))"
thisdaylive.com,"HTTPSConnectionPool(host='thisdaylive.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thisdaylive.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f87404c3430>, 'Connection to thisdaylive.com timed out. (connect timeout=2)'))"
thitruongsi.com,"HTTPSConnectionPool(host='thitruongsi.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f87441c8df0>, 'Connection to thitruongsi.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='thitruongsi.com', port=80): Read timed out. (read timeout=2)"
thoibaotaichinhvietnam.vn,"HTTPSConnectionPool(host='thoibaotaichinhvietnam.vn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8743106580>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='thoibaotaichinhvietnam.vn', port=80): Read timed out. (read timeout=2)"
thuonghieucongluan.com.vn,"HTTPSConnectionPool(host='thuonghieucongluan.com.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thuonghieucongluan.com.vn', port=443): Read timed out. (read timeout=2)"
thuongtruong.com.vn,"HTTPSConnectionPool(host='thuongtruong.com.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thuongtruong.com.vn', port=443): Read timed out. (read timeout=2)"
ticketcorner.ch,"HTTPSConnectionPool(host='www.ticketcorner.ch', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.ticketcorner.ch', port=443): Read timed out. (read timeout=2)"
tiesa.gov.lv,"HTTPSConnectionPool(host='tiesa.gov.lv', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8742dc6f40>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='tiesa.gov.lv', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8740864730>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
tilbudsugen.dk,"HTTPSConnectionPool(host='www.tilbudsugen.dk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tilbudsugen.dk', port=443): Read timed out. (read timeout=2)"
tiulim.net,"HTTPSConnectionPool(host='tiulim.net', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='tiulim.net', port=80): Read timed out. (read timeout=2)"
tjmg.jus.br,"HTTPSConnectionPool(host='tjmg.jus.br', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8745b978e0>, 'Connection to tjmg.jus.br timed out. (connect timeout=2)'))","HTTPConnectionPool(host='tjmg.jus.br', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f873e66ebb0>, 'Connection to tjmg.jus.br timed out. (connect timeout=2)'))"
tjrj.jus.br,"HTTPSConnectionPool(host='tjrj.jus.br', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f87450f54f0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='tjrj.jus.br', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8745e390d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
tki.org.nz,"HTTPSConnectionPool(host='www.tki.org.nz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tki.org.nz', port=443): Read timed out. (read timeout=2)"
tkmaxx.com,"HTTPSConnectionPool(host='www.tkmaxx.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tkmaxx.com', port=443): Read timed out. (read timeout=2)"
tohoku.ac.jp,"HTTPSConnectionPool(host='tohoku.ac.jp', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f87456b45b0>, 'Connection to tohoku.ac.jp timed out. (connect timeout=2)'))","HTTPConnectionPool(host='tohoku.ac.jp', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f87404e75e0>, 'Connection to tohoku.ac.jp timed out. (connect timeout=2)'))"
tokopedia.com,"HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=2)"
tokyo.lg.jp,"HTTPSConnectionPool(host='tokyo.lg.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f87410ed460>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='tokyo.lg.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f873d3b39a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
tonightweride.net,"HTTPSConnectionPool(host='tonightweride.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f87443f9550>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='tonightweride.net', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f873e427850>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
top-shop.rs,"HTTPSConnectionPool(host='top-shop.rs', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8745b3c460>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='top-shop.rs', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f87445405e0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
topbyvanie.sk,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
toploigiai.vn,"HTTPSConnectionPool(host='toploigiai.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='toploigiai.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
topspravy.sk,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","HTTPSConnectionPool(host='www.topspravy.sk', port=443): Read timed out. (read timeout=2)"
toranoana.jp,"HTTPSConnectionPool(host='toranoana.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8744dd9760>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='toranoana.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f874455a670>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
torpedo.media,"HTTPSConnectionPool(host='torpedo.media', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='torpedo.media', port=443): Read timed out. (read timeout=2)"
tortekolaci.com,"HTTPSConnectionPool(host='tortekolaci.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f87410dc280>, 'Connection to tortekolaci.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='tortekolaci.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8741b08a90>, 'Connection to tortekolaci.com timed out. (connect timeout=2)'))"
torun.pl,"HTTPSConnectionPool(host='torun.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.torun.pl', port=443): Read timed out. (read timeout=2)"
totaljobs.com,"HTTPSConnectionPool(host='www.totaljobs.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.totaljobs.com', port=80): Read timed out. (read timeout=2)"
tottori.lg.jp,"HTTPSConnectionPool(host='tottori.lg.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8743ce10d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='tottori.lg.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8740e8d9d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
tour.ne.jp,"HTTPSConnectionPool(host='tour.ne.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f873cd06880>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='tour.ne.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8744c11700>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
tourism.net.nz,"HTTPSConnectionPool(host='tourism.net.nz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.tourism.net.nz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))"
touronthai.com,"HTTPSConnectionPool(host='touronthai.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f873d323160>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='touronthai.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8745c1d0d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
toute-la-franchise.com,"HTTPSConnectionPool(host='toute-la-franchise.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8745009be0>, 'Connection to toute-la-franchise.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='toute-la-franchise.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f873e362460>, 'Connection to toute-la-franchise.com timed out. (connect timeout=2)'))"
tovima.gr,"HTTPSConnectionPool(host='tovima.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.tovima.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))"
toyota.co.th,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
toysrus.co.il,"HTTPSConnectionPool(host='toysrus.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='toysrus.co.il', port=443): Read timed out. (read timeout=2)"
toysrus.co.jp,"HTTPSConnectionPool(host='toysrus.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f87400e4f10>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='toysrus.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8745a3e6d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
tpu.ru,"HTTPSConnectionPool(host='tpu.ru', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='tpu.ru', port=443): Read timed out. (read timeout=2)"
trabajo.gob.ec,"HTTPSConnectionPool(host='www.trabajo.gob.ec', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='trabajo.gob.ec', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f873ce69880>, 'Connection to trabajo.gob.ec timed out. (connect timeout=2)'))"
